Layer,Weights
conv2d_1,-0.0028909615
conv2d_1,-0.0983194
conv2d_1,-0.077002525
conv2d_1,0.005429951
conv2d_1,-0.051211588
conv2d_1,0.1099184
conv2d_1,-0.028830327
conv2d_1,-0.08431125
conv2d_1,-0.015265465
conv2d_1,0.043351505
conv2d_1,-0.055629123
conv2d_1,-0.26734886
conv2d_1,-0.022181919
conv2d_1,0.08473056
conv2d_1,-0.003070714
conv2d_1,-0.05053531
conv2d_1,-0.08503249
conv2d_1,0.019495435
conv2d_1,0.07061436
conv2d_1,-0.01905901
conv2d_1,-0.017763805
conv2d_1,-0.16618834
conv2d_1,0.03176754
conv2d_1,-0.0992895
conv2d_1,-0.106359795
conv2d_1,-0.012586939
conv2d_1,-0.06291339
conv2d_1,-0.21435201
conv2d_1,-0.031892143
conv2d_1,-0.061376132
conv2d_1,-0.0915142
conv2d_1,0.034131873
conv2d_1,-0.0028495586
conv2d_1,-0.1446912
conv2d_1,0.071290866
conv2d_1,-0.15851116
conv2d_1,-0.040637277
conv2d_1,-0.13519855
conv2d_1,-0.1723335
conv2d_1,0.016866958
conv2d_1,0.06888734
conv2d_1,0.029744286
conv2d_1,0.060080122
conv2d_1,-0.10434372
conv2d_1,0.11018445
conv2d_1,0.1369791
conv2d_1,-0.0770076
conv2d_1,0.1528103
conv2d_1,0.06926897
conv2d_1,-0.032255568
conv2d_1,0.046363804
conv2d_1,-0.008525817
conv2d_1,0.13020891
conv2d_1,-0.11932092
conv2d_1,0.12266219
conv2d_1,-0.003265607
conv2d_1,0.015291098
conv2d_1,-0.008970807
conv2d_1,0.0074162907
conv2d_1,0.030971853
conv2d_1,0.005172797
conv2d_1,0.09908226
conv2d_1,-0.042403854
conv2d_1,0.021084508
conv2d_1,-0.15511248
conv2d_1,-0.04557678
conv2d_1,0.05084771
conv2d_1,-0.060367167
conv2d_1,-0.023110999
conv2d_1,0.09132143
conv2d_1,0.044090025
conv2d_1,0.07463101
conv2d_1,0.19612421
conv2d_1,-0.05257494
conv2d_1,-0.015083295
conv2d_1,-0.2074507
conv2d_1,-0.1456496
conv2d_1,0.14834873
conv2d_1,-0.105928496
conv2d_1,0.076426074
conv2d_1,-0.093994856
conv2d_1,-0.12952392
conv2d_1,0.1057981
conv2d_1,-0.07095256
conv2d_1,0.029713456
conv2d_1,-0.14767258
conv2d_1,0.024699377
conv2d_1,0.1760929
conv2d_1,0.096632615
conv2d_1,0.029812582
conv2d_1,0.0376199
conv2d_1,-0.13398507
conv2d_1,-0.13786358
conv2d_1,0.26506716
conv2d_1,-0.0044297697
conv2d_1,0.09718351
conv2d_1,-0.046732735
conv2d_1,-0.040211953
conv2d_1,-0.11219556
conv2d_1,-0.018638141
conv2d_1,0.03816777
conv2d_1,-0.18217458
conv2d_1,0.00048062054
conv2d_1,-0.22742149
conv2d_1,-0.07514087
conv2d_1,-0.0739934
conv2d_1,-0.04695883
conv2d_1,-0.030197753
conv2d_1,0.18593356
conv2d_1,0.05423302
conv2d_1,0.07186037
conv2d_1,-0.078719415
conv2d_1,0.028372891
conv2d_1,0.12479835
conv2d_1,0.008295806
conv2d_1,-0.0150768785
conv2d_1,0.19262673
conv2d_1,0.11257945
conv2d_1,0.14909738
conv2d_1,0.070357405
conv2d_1,-0.2294651
conv2d_1,0.17912328
conv2d_1,-0.098358475
conv2d_1,-0.02372687
conv2d_1,-0.078832835
conv2d_1,0.10083821
conv2d_1,0.002859081
conv2d_1,-0.043568082
conv2d_1,0.035736836
conv2d_1,0.025634563
conv2d_1,-0.05193821
conv2d_1,-0.03538278
conv2d_1,0.019308778
conv2d_1,-0.09934083
conv2d_1,0.08267312
